Food,File,Cost ($),Size (g),Unit Cost ($/g),Score,Glycemic Index,Gluten Free,Vegetarian,Dairy Free,Vegan,Nut Free,Sugar Free,Add Sug per 100 g,Sug Alc per 100 g,Allulose per 100 g,Lactose per 100 g,Gluten Protein %,Soluble Fiber %,Link
Pickles,pickles,2.47,140.00,0.01764,2.4,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Capers,capers,1.72,64.00,0.02688,2.4,41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Zucchini,zucchini,1.48,454.00,0.00326,9.9,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen cauliflower, thawed",cauliflower-frozen,1.16,336.00,0.00345,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Frozen cauliflower,cauliflower-frozen,1.16,336.00,0.00345,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Diced green chiles,diced-green-chiles,1.50,198.10,0.00757,7.8,42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/43APBRm
Spaghetti squash,spaghetti-squash,1.58,454.00,0.00348,9.3,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen kale, thawed",kale-frozen,1.57,336.00,0.00467,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Spinach, fresh",spinach-fresh,4.98,454.00,0.01097,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Kale,kale,4.98,454.00,0.01097,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Garlic, fresh",garlic,4.88,454.00,0.01075,9.3,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Yellow squash,yellow-squash,1.48,454.00,0.00326,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sugar pumpkin,pumpkin,2.29,764.00,0.00300,9.5,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sauerkraut,sauerkraut,3.50,908.00,0.00385,2.4,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sauerkraut juice,sauerkraut,3.50,908.00,0.00385,2.4,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Escarole,escarole,2.99,400.00,0.00748,10.0,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Broccoli rabe,broccoli-rabe,0.99,454.00,0.00218,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen string beans, thawed",green-bean-frozen,1.49,454.00,0.00328,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Red cabbage,red-cabbage,1.29,454.00,0.00284,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Celery,celery,2.38,454.00,0.00524,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Fresh Veggie Spring Roll,spring-roll-100g,4.80,803.00,0.00598,9.3,68,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,29,/recipes/spring-rolls
"Frozen brussel sprouts, thawed",brussel-sprout-frozen,1.42,336.00,0.00423,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Radish,radish,1.50,454.00,0.00330,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Pickled ginger,ginger-pickled,3.39,170.00,0.01994,2.4,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10.0,0.0,0.0,0.0,0,30,
Beets,beets,0.78,420.00,0.00186,9.3,64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Beet,beets,0.78,420.00,0.00186,9.3,64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
White Mushrooms,mushrooms,1.78,224.00,0.00795,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
White mushrooms,mushrooms,1.78,224.00,0.00795,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen spinach, thawed",spinach-frozen,1.16,339.60,0.00342,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Onion,onion,4.48,"1,362.00",0.00329,9.1,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Onions,onion,4.48,"1,362.00",0.00329,9.1,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Scallion,scallion,4.48,"1,362.00",0.00329,9.1,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Avocado,avocado,1.00,136.00,0.00735,9.4,50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,
Lemon juice,lemon-juice,2.88,896.00,0.00321,10.0,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,
Lime juice,lime-juice,1.24,240.00,0.00517,10.0,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,
Beet juice,beet-juice,19.13,"5,433.60",0.00352,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Pickled beet juice,beet-juice,19.13,"5,433.60",0.00352,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Bell pepper,pepper,1.99,454.00,0.00438,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sauteed Fajita Peppers,fajita-peppers,5.16,900.00,0.00573,9.4,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,34,/recipes/fajita-peppers
Roasted red peppers,roasted-red-peppers,2.13,336.00,0.00634,5.0,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/roasted-vegetables
Chipotle peppers in adobo sauce,chipotle-peppers,1.63,196.00,0.00832,5.0,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/44QBd9M
Red jalapenos,pepper,2.00,454.00,0.00441,9.9,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Shredded mozzarella cheese,mozzarella,7.27,908.00,0.00801,4.1,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.8,0,0,
"Shredded mozzarella cheese, low moisture part skim",mozzarella,7.27,908.00,0.00801,4.1,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.8,0,0,
"Mozzarella cheese, fat free",mozzarella-fat-free,7.27,908.00,0.00801,7.6,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.8,0,0,
Paneer,paneer,5.99,227.00,0.02639,4.1,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.8,0,0,
Swiss cheese,swiss-cheese,2.22,224.00,0.00991,3.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.3,0,0,
Swiss Cheese,swiss-cheese,2.22,224.00,0.00991,3.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.3,0,0,
Shredded cheddar cheese,cheddar,2.22,224.00,0.00991,3.7,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.3,0,0,
Cheddar cheese,cheddar,2.22,224.00,0.00991,3.7,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.3,0,0,
"Cheddar cheese, fat free",cheddar-fat-free,2.22,224.00,0.00991,6.9,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.3,0,0,
Gooey cheese sauce,cheese-sauce,2.48,300.00,0.00827,5.7,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.3,0,0,/recipes/cheese-sauce
Grated parmesan cheese,grated-cheese,2.98,224.00,0.01330,5.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.5,0,0,
Feta cheese,feta,6.00,454.00,0.01322,2.6,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.8,0,0,
"Feta cheese, fat free",feta-fat-free,6.00,454.00,0.01322,4.8,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.8,0,0,
Goat cheese,goat-cheese,2.99,113.20,0.02641,3.5,30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.8,0,0,
Blue cheese,blue-cheese,4.00,454.00,0.00881,3.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.3,0,0,
Plain nonfat greek yogurt,yogurt,3.54,896.00,0.00395,9.5,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.4,0,0,
Plain whole milk greek yogurt,yogurt-whole-milk,3.54,896.00,0.00395,8.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.4,0,0,
Tzatziki,tzatziki-sauce-100g,5.41,390.00,0.01387,9.1,30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,2.5,0,0,/recipes/tzatziki
"Vanilla Nonfat Greek Yogurt, Sugar Free",vanilla-sf-yogurt,5.48,905.60,0.00605,8.0,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,2.7,0.0,0,0,https://amzn.to/43NZ2On
Vanilla Protein Greek Yogurt,vanilla-sf-yogurt-protein,5.99,760.00,0.00788,8.8,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,2.7,0.0,0,0,https://amzn.to/4aZZ7mi
"Kefir, plain, 3.25% fat",kefir-whole,3.89,960.00,0.00405,8.0,32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.8,0,0,https://amzn.to/3HE3LJR
"Kefir, plain, 1% fat",kefir,3.89,960.00,0.00405,9.5,32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.8,0,0,https://amzn.to/43HN4ot
Frosting,frosting,1.96,454.00,0.00432,2.3,63,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,63.1,0.0,0.0,0.0,0,0,
"Protein Frosting, Vanilla",protein-frosting-vanilla,3.72,351.00,0.01060,8.7,26,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.3,0,0,/recipes/protein-frosting
"Protein Frosting, Chocolate",protein-frosting-chocolate,3.94,371.00,0.01062,8.7,23,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.1,0,0,/recipes/protein-frosting
Nonfat cottage cheese,cottage-cheese,2.94,672.00,0.00438,8.5,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.5,0,0,
Full fat cottage cheese,cottage-cheese-whole-milk,2.94,672.00,0.00438,7.2,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.5,0,0,
Creamy pesto dip,pesto-dip,3.80,688.00,0.00552,8.7,25,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,1.3,0,30,/recipes/creamy-pesto
Cottage cheese flatbread,cc-flatbread-white-psyllium,0.77,45.00,0.01711,8.7,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,8.8,0,85,/recipes/cottage-cheese-flatbread
Unsalted butter,butter,3.78,454.00,0.00833,2.5,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.8,0,0,
Salted butter,butter,3.78,454.00,0.00833,2.5,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.8,0,0,
Cream cheese,cream-cheese,1.79,226.40,0.00791,3.1,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.6,0,0,
"Cream cheese, 1/3 less fat",cream-cheese-low-fat,1.79,226.40,0.00791,4.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.6,0,0,
"Cream cheese, fat free",cream-cheese-fat-free,1.99,227.00,0.00877,5.9,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.6,0,0,
Sour cream,sour-cream,1.88,454.00,0.00414,2.1,15,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,
Vanilla ice cream,vanilla-ice-cream,2.97,"1,358.40",0.00219,2.3,61,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,21.2,0.0,0.0,4.9,0,0,
Snickers Ice Cream bar,snickers-ice-cream-bar,4.83,360.00,0.01342,2.3,61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,25.5,0.0,0.0,4.9,0,0,https://amzn.to/4x1xFfs
Cherry Garcia Ice Cream,cherry-garcia-ice-cream,4.87,454.00,0.01073,2.3,61,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,21.7,0.0,0.0,4.9,0,0,https://amzn.to/4fptrbW
Chunky Monkey Ice Cream,chunky-monkey-ice-cream,4.87,454.00,0.01073,2.3,61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,22.4,0.0,0.0,4.9,0,0,https://amzn.to/4pFciyn
Brie,brie,6.99,454.00,0.01540,3.1,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.6,0,0,
"Brie, fat free",cream-cheese-fat-free,1.99,227.00,0.00877,5.8,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.6,0,0,
"Labneh cheese, skim",labneh-skim,3.69,720.00,0.00513,8.5,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.4,0,0,/misc/homemade-cheese#labneh
Ricotta cheese,ricotta,1.35,480.00,0.00280,5.0,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,2.6,0,0,
Dairy Free Cashew Ricotta Cheese,cashew-ricotta,2.80,336.00,0.00833,7.9,21,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,/recipes/cashew-ricotta-cheese
"Whey protein powder, unflavored",whey,50.96,"2,270.00",0.02245,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,https://amzn.to/4kBoGeY
Whey protein powder,whey,50.96,"2,270.00",0.02245,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,https://amzn.to/4kBoGeY
"Whey protein powder, chocolate",whey-vanilla,50.96,"2,270.00",0.02245,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,https://amzn.to/3HXUMDC
"Whey protein powder, vanilla",whey-vanilla,50.96,"2,270.00",0.02245,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,https://amzn.to/4llkGj5
Nutricost Whey Unflavored Protein Powder,whey,50.96,"2,270.00",0.02245,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.0,0,0,https://amzn.to/4kBoGeY
Whey syrup,whey-syrup,1.35,180.00,0.00747,5.8,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,1.5,0,0,
"Liquid whey, acid",liquid-whey-acid,0.00,"1,270.00",0.00000,5.8,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,5.1,0,0,/misc/homemade-yogurt
"Liquid whey, sweet",liquid-whey-sweet,0.00,"1,270.00",0.00000,5.8,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,5.1,0,0,/misc/homemade-yogurt
Liquid whey,homemade-whey,0.00,"2,270.00",0.00000,5.8,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,5.1,0,0,/misc/homemade-yogurt
"Casein protein powder, unflavored",casein,60.26,"2,270.00",0.02655,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/4kBnsQM
Casein protein powder,casein,60.26,"2,270.00",0.02655,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/4kBnsQM
"Casein protein powder, chocolate",casein-vanilla,60.26,"2,270.00",0.02655,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/44hZio8
"Casein protein powder, vanilla",casein-vanilla,60.26,"2,270.00",0.02655,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/44hu28y
Nutricost Casein Unflavored Protein Powder,casein,60.26,"2,270.00",0.02655,9.1,24,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/4kBnsQM
"Pea protein powder, unflavored",pea-protein,35.99,"2,270.00",0.01585,9.6,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/4aXnK21
Honey,honey,3.74,336.00,0.01113,3.1,61,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,81.0,0.0,0.0,0.0,0,40,
"Honey, or maple syrup",honey,3.74,336.00,0.01113,3.1,61,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,81.0,0.0,0.0,0.0,0,40,
Maple syrup,maple-syrup,7.98,360.00,0.02217,3.1,54,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,65.0,0.0,0.0,0.0,0,40,
Hot honey,hot-honey,3.94,360.00,0.01094,3.2,61,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,75.5,0.0,0.0,0.0,0,40,/recipes/hot-honey
"Maple syrup, or honey",maple-syrup,7.98,360.00,0.02217,3.1,54,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,65.0,0.0,0.0,0.0,0,40,
Sugar Free Syrup,sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
Sugar free syrup,sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
"Sugar free syrup, or maple syrup or honey",sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
"Sugar free syrup, or honey or maple syrup",sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
"Sugar free syrup, or honey",sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
"Sugar free syrup, or maple syrup",sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
"Sugar free syrup, optional",sugar-free-syrup,3.14,720.00,0.00436,0.0,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,10.0,0.0,0.0,0,40,/recipes/sugar-free-syrup
Agave,agave,5.82,665.05,0.00875,3.1,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68.0,0.0,0.0,0.0,0,40,
Agave syrup,agave,5.82,665.05,0.00875,3.1,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68.0,0.0,0.0,0.0,0,40,
Coconut sugar,coconut-sugar,9.42,905.60,0.01040,2.5,54,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,78.0,0.0,0.0,0.0,0,40,
Date sugar,date-sugar,8.98,396.20,0.02267,2.5,53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67.0,0.0,0.0,0.0,0,40,
Date syrup,date-syrup,9.98,679.20,0.01469,3.1,47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69.0,0.0,0.0,0.0,0,40,
Homemade fruit syrup,fruit-syrup,1.00,63.00,0.01587,3.1,46,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,89.0,0.0,0.0,0.0,0,40,/misc/homemade-fruit-syrup
Liquid stevia,liquid-stevia,3.34,47.04,0.07100,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,https://amzn.to/45wOzIv
Liquid monk fruit,liquid-monk-fruit,6.34,92.40,0.06861,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,https://amzn.to/3SqwsMO
Liquid stevia or monk fruit,liquid-monk-fruit,4.84,69.72,0.06942,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,https://amzn.to/3SqwsMO
Buttermilk,buttermilk,2.23,"1,000.00",0.00223,8.0,31,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,3.8,0,0,
Buttermilk powder,buttermilk-powder,4.93,339.60,0.01452,8.0,59,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,39.1,0,0,
Almond milk,almond-milk,2.44,"1,920.00",0.00127,9.0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,
Unsweetened almond milk,almond-milk,2.44,"1,920.00",0.00127,9.0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,
Unsweetened vanilla almond milk,almond-milk,2.44,"1,920.00",0.00127,9.0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,
"Unsweetened almond milk, or water",almond-milk,2.44,"1,920.00",0.00127,9.0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,
"Unsweetened vanilla almond milk, or water",almond-milk,2.44,"1,920.00",0.00127,9.0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,15,
Skim milk,skim-milk,2.69,"3,904.00",0.00069,8.0,32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,4.9,0,0,
Fairlife skim milk,fairlife-skim,4.29,"1,464.00",0.00293,8.5,32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/4wEmIBw
Evaporated milk,evaporated-milk,1.22,339.60,0.00359,5.2,27,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,17.8,0,0,https://amzn.to/44QEaHo
Fat free evaporated milk,evaporated-milk-skim,1.22,339.60,0.00359,5.5,32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,17.8,0,0,https://amzn.to/3Zrz019
"Coconut milk, full fat",coconut-milk,1.50,405.00,0.00370,5.2,41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,https://amzn.to/4kZIRo6
"Coconut milk, lite",coconut-milk-lite,1.50,405.00,0.00370,5.5,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,https://amzn.to/4skN5Jz
Egg,eggs,4.50,918.00,0.00490,6.0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Egg, hard boiled",eggs,4.50,918.00,0.00490,6.0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,/recipes/hard-boiled-egg
Egg whites,egg-whites,1.30,540.00,0.00241,8.9,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Liquid egg whites,egg-whites,3.98,908.00,0.00438,8.9,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/3Hdzv8u
Egg yolk,egg-yolk,0.87,540.00,0.00161,7.5,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Ground coffee, decaf",ground-coffee,9.96,732.97,0.01359,7.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,10,https://amzn.to/43fldNm
Cocoa powder,cocoa-powder,2.48,226.40,0.01095,10.0,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,25,
Cocoa Powder,cocoa-powder,2.48,226.40,0.01095,10.0,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,25,
Cacao powder,cocoa-powder,9.34,454.00,0.02057,10.0,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,25,https://amzn.to/4jqcKMa
Carob powder,carob,9.49,454.00,0.02090,9.5,50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,25,https://amzn.to/4rhYDwh
Unsweetened chocolate,100,1.46,113.20,0.01290,7.0,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,25,/recipes/chocolate-bar
Simple syrup,simple-syrup,4.09,"4,540.00",0.00090,1.0,68,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,50.0,0.0,0.0,0.0,0,40,
"Sugar free chocolate syrup, storebought",sf-choc-syrup-store-100g,6.29,495.25,0.01270,4.2,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,13.3,0.0,0.0,0,40,
